File Name,Sample ID
VK_170901_160,Mn_P3_L1_4
VK_170901_161,Mn_P3_L1_5
VK_170901_162,Mn_P3_L1_6
VK_170901_163,N2_P2_W3_1
VK_170901_164,N2_P2_W3_2
VK_170901_165,N2_P2_W3_3
VK_170901_166,N2_P2_W3_4
VK_170901_167,N2_P2_W3_5
VK_170901_168,N2_P2_W3_6
VK_170901_169,Mn_P2_L2_1
VK_170901_170,Mn_P2_L2_2
VK_170901_171,Mn_P2_L2_3
VK_170901_172,Mn_P2_L2_4
VK_170901_173,Mn_P2_L2_5
VK_170901_174,Mn_P2_L2_6
VK_170901_175,N2_P1_W1_1
VK_170901_176,N2_P1_W1_2
VK_170901_177,N2_P1_W1_3
VK_170901_178,N2_P1_W1_4
VK_170901_179,N2_P1_W1_5
VK_170901_180,N2_P1_W1_6
VK_170901_181,Qstd_7_1
VK_170901_182,Qstd_7_2
VK_170901_183,Qstd_7_3
VK_170901_184,Qstd_7_4
VK_170901_185,Qstd_7_5
VK_170901_186,Qstd_7_6
VK_170901_187,Qstd_8_1
VK_170901_188,Qstd_8_2
VK_170901_189,Qstd_8_3
VK_170901_190,Qstd_8_4
VK_170901_191,Qstd_8_5
VK_170901_192,Qstd_8_6
